condition,.thisRepN,.thisTrialN,.thisN,.thisIndex,block,trial,s1_state,response,rt,pair,
noise,0,-1,-1,0,1,0,False,no,1.2544748783111572,55,
signal,0,-1,-1,0,1,1,False,yes,0.7301950454711914,55,
noise,0,-1,-1,0,1,2,False,no,0.7922208309173584,55,
noise,0,-1,-1,0,1,3,True,no,1.5974221229553223,55,
signal,0,-1,-1,0,1,4,False,yes,0.8309509754180908,55,
noise,0,-1,-1,0,1,5,True,no,1.137692928314209,55,
signal,0,-1,-1,0,1,6,True,yes,1.061589002609253,55,
noise,0,-1,-1,0,1,7,False,no,0.8046050071716309,55,
noise,0,-1,-1,0,1,8,True,no,0.8903999328613281,55,
signal,0,-1,-1,0,1,9,True,no,0.7803840637207031,55,
noise,0,-1,-1,0,1,10,False,no,0.910261869430542,55,
noise,0,-1,-1,0,1,11,False,no,0.9742178916931152,55,
noise,0,-1,-1,0,1,12,False,no,0.742318868637085,55,
signal,0,-1,-1,0,1,13,False,no,0.7173418998718262,55,
noise,0,-1,-1,0,1,14,True,no,1.0021378993988037,55,
signal,0,-1,-1,0,1,15,True,yes,0.6480929851531982,55,
noise,0,-1,-1,0,1,16,False,no,0.8624470233917236,55,
noise,0,-1,-1,0,1,17,False,no,0.8857359886169434,55,
noise,0,-1,-1,0,1,18,False,no,0.7383551597595215,55,
signal,0,-1,-1,0,1,19,True,yes,0.7519989013671875,55,
signal,0,-1,-1,0,1,20,False,yes,0.7009508609771729,55,
noise,0,-1,-1,0,1,21,True,no,0.9029300212860107,55,
signal,0,-1,-1,0,1,22,True,yes,0.7042531967163086,55,
noise,0,-1,-1,0,1,23,False,no,0.7951970100402832,55,
signal,0,-1,-1,0,1,24,True,yes,0.8933489322662354,55,
signal,0,-1,-1,0,1,25,True,yes,0.5727620124816895,55,
noise,0,-1,-1,0,1,26,True,no,0.898888111114502,55,
signal,0,-1,-1,0,1,27,True,yes,0.5483748912811279,55,
signal,0,-1,-1,0,1,28,False,yes,0.7929749488830566,55,
signal,0,-1,-1,0,1,29,False,yes,0.8633852005004883,55,
signal,0,-1,-1,0,1,30,True,yes,0.6611089706420898,55,
signal,0,-1,-1,0,1,31,False,yes,0.5433120727539062,55,
noise,0,-1,-1,0,1,32,True,no,0.8073599338531494,55,
signal,0,-1,-1,0,1,33,True,yes,0.8143091201782227,55,
signal,0,-1,-1,0,1,34,True,yes,0.9542670249938965,55,
signal,0,-1,-1,0,1,35,True,yes,0.7775120735168457,55,
noise,0,-1,-1,0,1,36,True,no,0.7631549835205078,55,
signal,0,-1,-1,0,1,37,False,yes,0.7080531120300293,55,
noise,0,-1,-1,0,1,38,False,no,0.9156420230865479,55,
noise,0,-1,-1,0,1,39,False,no,0.8613591194152832,55,
noise,0,-1,-1,0,1,40,True,no,0.8593959808349609,55,
noise,0,-1,-1,0,1,41,False,no,0.7912180423736572,55,
signal,0,-1,-1,0,1,42,False,yes,0.8421778678894043,55,
signal,0,-1,-1,0,1,43,True,yes,0.7188189029693604,55,
signal,0,-1,-1,0,1,44,False,yes,0.5964879989624023,55,
noise,0,-1,-1,0,1,45,True,no,0.8577868938446045,55,
signal,0,-1,-1,0,1,46,True,yes,0.7712819576263428,55,
noise,0,-1,-1,0,1,47,True,no,0.9650719165802002,55,
noise,0,-1,-1,0,1,48,False,no,0.6620841026306152,55,
noise,0,-1,-1,0,1,49,False,yes,0.8084039688110352,55,
noise,0,-1,-1,0,1,50,False,no,0.8805739879608154,55,
signal,0,-1,-1,0,1,51,False,no,0.6983258724212646,55,
noise,0,-1,-1,0,1,52,False,no,0.7216579914093018,55,
signal,0,-1,-1,0,1,53,False,yes,0.6569359302520752,55,
noise,0,-1,-1,0,1,54,False,no,0.6466360092163086,55,
signal,0,-1,-1,0,1,55,True,no,1.3431401252746582,55,
signal,0,-1,-1,0,1,56,True,yes,0.6860899925231934,55,
signal,0,-1,-1,0,1,57,False,yes,0.7928571701049805,55,
signal,0,-1,-1,0,1,58,True,no,0.7012109756469727,55,
noise,0,-1,-1,0,1,59,False,no,0.9190058708190918,55,
signal,0,-1,-1,0,2,0,True,yes,1.5935118198394775,55,
signal,0,-1,-1,0,2,1,True,yes,0.796018123626709,55,
signal,0,-1,-1,0,2,2,True,yes,0.7358608245849609,55,
noise,0,-1,-1,0,2,3,False,no,0.8100190162658691,55,
signal,0,-1,-1,0,2,4,False,yes,0.9543750286102295,55,
signal,0,-1,-1,0,2,5,False,yes,0.6385159492492676,55,
signal,0,-1,-1,0,2,6,False,yes,0.9116301536560059,55,
noise,0,-1,-1,0,2,7,True,no,0.9676690101623535,55,
signal,0,-1,-1,0,2,8,False,yes,0.9028449058532715,55,
noise,0,-1,-1,0,2,9,False,no,0.7374091148376465,55,
signal,0,-1,-1,0,2,10,False,yes,0.7607438564300537,55,
noise,0,-1,-1,0,2,11,True,no,0.8073501586914062,55,
noise,0,-1,-1,0,2,12,False,no,0.7303180694580078,55,
signal,0,-1,-1,0,2,13,False,yes,0.790410041809082,55,
noise,0,-1,-1,0,2,14,True,no,0.7678439617156982,55,
signal,0,-1,-1,0,2,15,True,no,0.7407670021057129,55,
signal,0,-1,-1,0,2,16,False,yes,0.6390621662139893,55,
noise,0,-1,-1,0,2,17,False,no,0.7849700450897217,55,
signal,0,-1,-1,0,2,18,True,yes,0.9581329822540283,55,
noise,0,-1,-1,0,2,19,True,no,0.7391238212585449,55,
signal,0,-1,-1,0,2,20,True,yes,0.8511202335357666,55,
noise,0,-1,-1,0,2,21,False,no,0.7523770332336426,55,
noise,0,-1,-1,0,2,22,False,no,0.7397019863128662,55,
noise,0,-1,-1,0,2,23,False,no,0.8101329803466797,55,
noise,0,-1,-1,0,2,24,True,no,0.9010939598083496,55,
signal,0,-1,-1,0,2,25,False,yes,0.7248139381408691,55,
signal,0,-1,-1,0,2,26,True,yes,0.7758522033691406,55,
signal,0,-1,-1,0,2,27,True,yes,0.8731880187988281,55,
signal,0,-1,-1,0,2,28,True,yes,0.8411381244659424,55,
signal,0,-1,-1,0,2,29,True,yes,0.6646029949188232,55,
noise,0,-1,-1,0,2,30,False,no,0.618948221206665,55,
signal,0,-1,-1,0,2,31,False,yes,0.5786941051483154,55,
signal,0,-1,-1,0,2,32,True,yes,0.6959309577941895,55,
noise,0,-1,-1,0,2,33,True,no,1.0385429859161377,55,
signal,0,-1,-1,0,2,34,True,no,0.9415349960327148,55,
noise,0,-1,-1,0,2,35,True,no,0.792881965637207,55,
signal,0,-1,-1,0,2,36,False,yes,0.9814839363098145,55,
noise,0,-1,-1,0,2,37,False,no,0.77292799949646,55,
signal,0,-1,-1,0,2,38,True,no,1.0071017742156982,55,
signal,0,-1,-1,0,2,39,False,yes,0.8166887760162354,55,
noise,0,-1,-1,0,2,40,False,yes,1.1102449893951416,55,
signal,0,-1,-1,0,2,41,True,no,1.4000298976898193,55,
noise,0,-1,-1,0,2,42,False,no,1.0988759994506836,55,
signal,0,-1,-1,0,2,43,True,yes,0.704240083694458,55,
noise,0,-1,-1,0,2,44,False,no,0.7933409214019775,55,
signal,0,-1,-1,0,2,45,True,yes,1.0683670043945312,55,
