condition,.thisRepN,.thisTrialN,.thisN,.thisIndex,block,trial,response,pair_id,chamber,threshold,
signal,0,-1,-1,0,1,0,8,9282,2,0.018737276087194638,
signal,0,-1,-1,0,1,1,8,9282,2,0.018737276087194638,
signal,0,-1,-1,0,1,2,7,9282,2,0.018737276087194638,
noise,0,-1,-1,0,1,3,8,9282,2,0.018737276087194638,
noise,0,-1,-1,0,1,4,8,9282,2,0.018737276087194638,
signal,0,-1,-1,0,1,5,8,9282,2,0.018737276087194638,
noise,0,-1,-1,0,1,6,7,9282,2,0.018737276087194638,
noise,0,-1,-1,0,1,7,8,9282,2,0.018737276087194638,
noise,0,-1,-1,0,1,8,8,9282,2,0.018737276087194638,
noise,0,-1,-1,0,1,9,8,9282,2,0.018737276087194638,
signal,0,-1,-1,0,1,10,8,9282,2,0.018737276087194638,
signal,0,-1,-1,0,1,11,8,9282,2,0.018737276087194638,
signal,0,-1,-1,0,1,12,8,9282,2,0.018737276087194638,
signal,0,-1,-1,0,1,13,8,9282,2,0.018737276087194638,
noise,0,-1,-1,0,1,14,8,9282,2,0.018737276087194638,
signal,0,-1,-1,0,1,15,8,9282,2,0.018737276087194638,
signal,0,-1,-1,0,1,16,8,9282,2,0.018737276087194638,
noise,0,-1,-1,0,1,17,8,9282,2,0.018737276087194638,
signal,0,-1,-1,0,1,18,8,9282,2,0.018737276087194638,
noise,0,-1,-1,0,1,19,8,9282,2,0.018737276087194638,
noise,0,-1,-1,0,1,20,8,9282,2,0.018737276087194638,
noise,0,-1,-1,0,1,21,8,9282,2,0.018737276087194638,
noise,0,-1,-1,0,1,22,8,9282,2,0.018737276087194638,
signal,0,-1,-1,0,1,23,7,9282,2,0.018737276087194638,
signal,0,-1,-1,0,1,24,8,9282,2,0.018737276087194638,
noise,0,-1,-1,0,1,25,8,9282,2,0.018737276087194638,
signal,0,-1,-1,0,1,26,8,9282,2,0.018737276087194638,
noise,0,-1,-1,0,1,27,8,9282,2,0.018737276087194638,
signal,0,-1,-1,0,1,28,8,9282,2,0.018737276087194638,
signal,0,-1,-1,0,1,29,8,9282,2,0.018737276087194638,
signal,0,-1,-1,0,1,30,7,9282,2,0.018737276087194638,
noise,0,-1,-1,0,1,31,8,9282,2,0.018737276087194638,
noise,0,-1,-1,0,1,32,8,9282,2,0.018737276087194638,
noise,0,-1,-1,0,1,33,8,9282,2,0.018737276087194638,
signal,0,-1,-1,0,1,34,8,9282,2,0.018737276087194638,
noise,0,-1,-1,0,1,35,8,9282,2,0.018737276087194638,
noise,0,-1,-1,0,1,36,8,9282,2,0.018737276087194638,
signal,0,-1,-1,0,1,37,8,9282,2,0.018737276087194638,
signal,0,-1,-1,0,1,38,8,9282,2,0.018737276087194638,
signal,0,-1,-1,0,1,39,7,9282,2,0.018737276087194638,
signal,0,-1,-1,0,1,40,7,9282,2,0.018737276087194638,
noise,0,-1,-1,0,1,41,8,9282,2,0.018737276087194638,
noise,0,-1,-1,0,1,42,8,9282,2,0.018737276087194638,
noise,0,-1,-1,0,1,43,8,9282,2,0.018737276087194638,
noise,0,-1,-1,0,1,44,8,9282,2,0.018737276087194638,
signal,0,-1,-1,0,1,45,8,9282,2,0.018737276087194638,
signal,0,-1,-1,0,1,46,8,9282,2,0.018737276087194638,
noise,0,-1,-1,0,1,47,noresponse,9282,2,0.018737276087194638,
