condition,.thisRepN,.thisTrialN,.thisN,.thisIndex,block,trial,response,chamber,threshold,overall,noise,signal
noise,0,-1,-1,0,1,0,8,2,0.0221733763,1,1,0
noise,0,-1,-1,0,1,1,8,2,0.0221733763,1,1,0
noise,0,-1,-1,0,1,2,7,2,0.0221733763,0,0,0
noise,0,-1,-1,0,1,3,8,2,0.0221733763,1,1,0
signal,0,-1,-1,0,1,4,7,2,0.0221733763,1,0,1
signal,0,-1,-1,0,1,5,7,2,0.0221733763,1,0,1
signal,0,-1,-1,0,1,6,7,2,0.0221733763,1,0,1
noise,0,-1,-1,0,1,7,8,2,0.0221733763,1,1,0
noise,0,-1,-1,0,1,8,7,2,0.0221733763,0,0,0
signal,0,-1,-1,0,1,9,7,2,0.0221733763,1,0,1
signal,0,-1,-1,0,1,10,8,2,0.0221733763,0,0,0
noise,0,-1,-1,0,1,11,7,2,0.0221733763,0,0,0
noise,0,-1,-1,0,1,12,8,2,0.0221733763,1,1,0
signal,0,-1,-1,0,1,13,8,2,0.0221733763,0,0,0
signal,0,-1,-1,0,1,14,8,2,0.0221733763,0,0,0
noise,0,-1,-1,0,1,15,8,2,0.0221733763,1,1,0
signal,0,-1,-1,0,1,16,8,2,0.0221733763,0,0,0
noise,0,-1,-1,0,1,17,8,2,0.0221733763,1,1,0
noise,0,-1,-1,0,1,18,7,2,0.0221733763,0,0,0
signal,0,-1,-1,0,1,19,7,2,0.0221733763,1,0,1
signal,0,-1,-1,0,1,20,7,2,0.0221733763,1,0,1
noise,0,-1,-1,0,1,21,8,2,0.0221733763,1,1,0
noise,0,-1,-1,0,1,22,8,2,0.0221733763,1,1,0
noise,0,-1,-1,0,1,23,8,2,0.0221733763,1,1,0
noise,0,-1,-1,0,1,24,8,2,0.0221733763,1,1,0
signal,0,-1,-1,0,1,25,8,2,0.0221733763,0,0,0
noise,0,-1,-1,0,1,26,8,2,0.0221733763,1,1,0
signal,0,-1,-1,0,1,27,8,2,0.0221733763,0,0,0
noise,0,-1,-1,0,1,28,8,2,0.0221733763,1,1,0
noise,0,-1,-1,0,1,29,7,2,0.0221733763,0,0,0
signal,0,-1,-1,0,1,30,7,2,0.0221733763,1,0,1
signal,0,-1,-1,0,1,31,8,2,0.0221733763,0,0,0
signal,0,-1,-1,0,1,32,7,2,0.0221733763,1,0,1
noise,0,-1,-1,0,1,33,8,2,0.0221733763,1,1,0
noise,0,-1,-1,0,1,34,8,2,0.0221733763,1,1,0
signal,0,-1,-1,0,1,35,8,2,0.0221733763,0,0,0
noise,0,-1,-1,0,1,36,8,2,0.0221733763,1,1,0
noise,0,-1,-1,0,1,37,8,2,0.0221733763,1,1,0
signal,0,-1,-1,0,1,38,7,2,0.0221733763,1,0,1
noise,0,-1,-1,0,1,39,8,2,0.0221733763,1,1,0
signal,0,-1,-1,0,1,40,8,2,0.0221733763,0,0,0
signal,0,-1,-1,0,1,41,8,2,0.0221733763,0,0,0
noise,0,-1,-1,0,1,42,8,2,0.0221733763,1,1,0
signal,0,-1,-1,0,1,43,7,2,0.0221733763,1,0,1
noise,0,-1,-1,0,1,44,8,2,0.0221733763,1,1,0
signal,0,-1,-1,0,1,45,8,2,0.0221733763,0,0,0
signal,0,-1,-1,0,1,46,7,2,0.0221733763,1,0,1
signal,0,-1,-1,0,1,47,7,2,0.0221733763,1,0,1
signal,0,-1,-1,0,1,48,7,2,0.0221733763,1,0,1
noise,0,-1,-1,0,1,49,8,2,0.0221733763,1,1,0
signal,0,-1,-1,0,1,50,8,2,0.0221733763,0,0,0
signal,0,-1,-1,0,1,51,8,2,0.0221733763,0,0,0
noise,0,-1,-1,0,1,52,7,2,0.0221733763,0,0,0
signal,0,-1,-1,0,1,53,8,2,0.0221733763,0,0,0
noise,0,-1,-1,0,1,54,7,2,0.0221733763,0,0,0
noise,0,-1,-1,0,1,55,8,2,0.0221733763,1,1,0
signal,0,-1,-1,0,1,56,7,2,0.0221733763,1,0,1
noise,0,-1,-1,0,1,57,8,2,0.0221733763,1,1,0
noise,0,-1,-1,0,1,58,8,2,0.0221733763,1,1,0
noise,0,-1,-1,0,1,59,8,2,0.0221733763,1,1,0
noise,0,-1,-1,0,1,60,8,2,0.0221733763,1,1,0
signal,0,-1,-1,0,1,61,7,2,0.0221733763,1,0,1
signal,0,-1,-1,0,1,62,8,2,0.0221733763,0,0,0
noise,0,-1,-1,0,1,63,8,2,0.0221733763,1,1,0
signal,0,-1,-1,0,1,64,8,2,0.0221733763,0,0,0
signal,0,-1,-1,0,1,65,7,2,0.0221733763,1,0,1
noise,0,-1,-1,0,1,66,8,2,0.0221733763,1,1,0
signal,0,-1,-1,0,1,67,7,2,0.0221733763,1,0,1
signal,0,-1,-1,0,1,68,7,2,0.0221733763,1,0,1
noise,0,-1,-1,0,1,69,7,2,0.0221733763,0,0,0
signal,0,-1,-1,0,1,70,7,2,0.0221733763,1,0,1
signal,0,-1,-1,0,1,71,7,2,0.0221733763,1,0,1
noise,0,-1,-1,0,1,72,8,2,0.0221733763,1,1,0
signal,0,-1,-1,0,1,73,8,2,0.0221733763,0,0,0
noise,0,-1,-1,0,1,74,8,2,0.0221733763,1,1,0
noise,0,-1,-1,0,1,75,7,2,0.0221733763,0,0,0
signal,0,-1,-1,0,1,76,7,2,0.0221733763,1,0,1
noise,0,-1,-1,0,1,77,8,2,0.0221733763,1,1,0
signal,0,-1,-1,0,1,78,7,2,0.0221733763,1,0,1
signal,0,-1,-1,0,1,79,7,2,0.0221733763,1,0,1
noise,0,-1,-1,0,2,0,8,2,0.0221733763,1,1,0
noise,0,-1,-1,0,2,1,8,2,0.0221733763,1,1,0
signal,0,-1,-1,0,2,2,8,2,0.0221733763,0,0,0
noise,0,-1,-1,0,2,3,8,2,0.0221733763,1,1,0
signal,0,-1,-1,0,2,4,8,2,0.0221733763,0,0,0
signal,0,-1,-1,0,2,5,8,2,0.0221733763,0,0,0
noise,0,-1,-1,0,2,6,7,2,0.0221733763,0,0,0
noise,0,-1,-1,0,2,7,8,2,0.0221733763,1,1,0
noise,0,-1,-1,0,2,8,7,2,0.0221733763,0,0,0
noise,0,-1,-1,0,2,9,8,2,0.0221733763,1,1,0
