block,trial,s1_state,direction,response,rt,pair,
0,0,True,right,right,1.0691189765930176,280933,
0,1,True,left,right,0.995898962020874,280933,
0,2,True,left,right,0.9770410060882568,280933,
0,3,True,left,left,0.9860210418701172,280933,
0,4,False,left,left,0.888416051864624,280933,
0,5,False,right,right,0.9000251293182373,280933,
0,6,True,right,left,1.1425909996032715,280933,
0,7,False,right,right,0.7724318504333496,280933,
0,8,True,left,left,1.1287939548492432,280933,
0,9,False,left,left,0.9290471076965332,280933,
0,10,True,right,right,0.8734619617462158,280933,
0,11,True,right,right,0.9152529239654541,280933,
0,12,False,right,right,0.75860595703125,280933,
0,13,True,left,left,0.9858310222625732,280933,
0,14,False,left,left,0.986361026763916,280933,
0,15,False,left,left,0.8307690620422363,280933,
0,16,False,left,left,0.8790628910064697,280933,
0,17,True,right,right,1.0764238834381104,280933,
0,18,False,right,right,0.9279680252075195,280933,
0,19,True,right,left,1.354477882385254,280933,
0,20,True,left,left,1.318688154220581,280933,
0,21,False,left,left,0.9773600101470947,280933,
0,22,False,right,right,1.1219699382781982,280933,
0,23,False,left,left,0.6950109004974365,280933,
0,24,True,left,right,0.9371340274810791,280933,
0,25,True,left,right,1.2609539031982422,280933,
0,26,False,right,right,0.686802864074707,280933,
0,27,True,right,left,1.211874008178711,280933,
0,28,True,left,right,1.0364010334014893,280933,
0,29,False,right,right,1.192307949066162,280933,
0,30,False,right,right,0.828315019607544,280933,
0,31,True,left,right,1.5202620029449463,280933,
0,32,False,right,right,1.600844144821167,280933,
0,33,False,right,left,0.9644298553466797,280933,
0,34,True,left,left,1.1694858074188232,280933,
0,35,True,left,left,1.4602961540222168,280933,
0,36,True,right,right,1.3616321086883545,280933,
0,37,False,left,left,0.7427599430084229,280933,
0,38,False,right,right,0.8952140808105469,280933,
0,39,True,left,left,1.2542030811309814,280933,
0,40,True,left,right,1.24123215675354,280933,
0,41,False,left,right,1.3316020965576172,280933,
0,42,False,right,right,0.9580328464508057,280933,
0,43,False,right,right,1.149320125579834,280933,
0,44,True,left,right,1.1107499599456787,280933,
0,45,False,right,left,1.5724279880523682,280933,
0,46,True,right,right,0.8547830581665039,280933,
0,47,True,left,left,1.0804879665374756,280933,
0,48,False,right,right,1.0704209804534912,280933,
0,49,False,left,left,0.9762189388275146,280933,
0,50,False,right,right,0.8288969993591309,280933,
0,51,False,right,left,1.2851271629333496,280933,
0,52,False,left,left,0.91290283203125,280933,
0,53,False,left,left,1.3030040264129639,280933,
0,54,False,left,left,0.8922109603881836,280933,
0,55,False,right,right,0.8810639381408691,280933,
0,56,True,left,left,1.3861088752746582,280933,
0,57,False,left,left,1.0851459503173828,280933,
0,58,False,right,right,0.9412779808044434,280933,
0,59,True,left,left,1.089076042175293,280933,
0,60,True,right,right,0.668773889541626,280933,
0,61,True,right,left,0.925286054611206,280933,
0,62,True,right,left,1.064255952835083,280933,
0,63,True,right,right,0.8771660327911377,280933,
0,64,True,right,right,1.2781310081481934,280933,
0,65,True,right,left,1.1970131397247314,280933,
0,66,True,right,right,1.4463860988616943,280933,
0,67,True,right,right,1.1185340881347656,280933,
0,68,False,right,right,0.9570050239562988,280933,
0,69,False,right,left,0.6259949207305908,280933,
0,70,False,left,left,0.9679751396179199,280933,
0,71,True,right,right,1.0074779987335205,280933,
0,72,True,left,left,1.056298017501831,280933,
0,73,False,left,right,3.9763529300689697,280933,
0,74,False,left,left,1.0102171897888184,280933,
0,75,True,right,left,1.6000800132751465,280933,
0,76,False,left,left,3.6698551177978516,280933,
0,77,False,right,right,0.9446442127227783,280933,
0,78,True,left,left,1.2646920680999756,280933,
0,79,True,right,right,0.9457249641418457,280933,
0,80,False,right,right,1.0063090324401855,280933,
0,81,True,left,left,1.0984041690826416,280933,
0,82,False,left,left,0.6655778884887695,280933,
0,83,True,left,right,0.9113810062408447,280933,
0,84,False,left,left,0.7676959037780762,280933,
0,85,True,left,left,1.0712249279022217,280933,
