condition,.thisRepN,.thisTrialN,.thisN,.thisIndex,block,trial,response,pair_id,chamber,threshold,
signal,0,-1,-1,0,1,0,8,9241,2,0.020469128356439128,
signal,0,-1,-1,0,1,1,8,9241,2,0.020469128356439128,
noise,0,-1,-1,0,1,2,8,9241,2,0.020469128356439128,
noise,0,-1,-1,0,1,3,7,9241,2,0.020469128356439128,
signal,0,-1,-1,0,1,4,7,9241,2,0.020469128356439128,
noise,0,-1,-1,0,1,5,8,9241,2,0.020469128356439128,
signal,0,-1,-1,0,1,6,7,9241,2,0.020469128356439128,
noise,0,-1,-1,0,1,7,8,9241,2,0.020469128356439128,
noise,0,-1,-1,0,1,8,8,9241,2,0.020469128356439128,
noise,0,-1,-1,0,1,9,noresponse,9241,2,0.020469128356439128,
noise,0,-1,-1,0,1,10,noresponse,9241,2,0.020469128356439128,
signal,0,-1,-1,0,1,11,7,9241,2,0.020469128356439128,
signal,0,-1,-1,0,1,12,8,9241,2,0.020469128356439128,
noise,0,-1,-1,0,1,13,7,9241,2,0.020469128356439128,
signal,0,-1,-1,0,1,14,noresponse,9241,2,0.020469128356439128,
noise,0,-1,-1,0,1,15,noresponse,9241,2,0.020469128356439128,
noise,0,-1,-1,0,1,16,7,9241,2,0.020469128356439128,
noise,0,-1,-1,0,1,17,noresponse,9241,2,0.020469128356439128,
noise,0,-1,-1,0,1,18,noresponse,9241,2,0.020469128356439128,
noise,0,-1,-1,0,1,19,7,9241,2,0.020469128356439128,
noise,0,-1,-1,0,1,20,noresponse,9241,2,0.020469128356439128,
signal,0,-1,-1,0,1,21,8,9241,2,0.020469128356439128,
signal,0,-1,-1,0,1,22,7,9241,2,0.020469128356439128,
noise,0,-1,-1,0,1,23,8,9241,2,0.020469128356439128,
signal,0,-1,-1,0,1,24,8,9241,2,0.020469128356439128,
noise,0,-1,-1,0,1,25,7,9241,2,0.020469128356439128,
signal,0,-1,-1,0,1,26,7,9241,2,0.020469128356439128,
noise,0,-1,-1,0,1,27,8,9241,2,0.020469128356439128,
signal,0,-1,-1,0,1,28,7,9241,2,0.020469128356439128,
signal,0,-1,-1,0,1,29,8,9241,2,0.020469128356439128,
signal,0,-1,-1,0,1,30,noresponse,9241,2,0.020469128356439128,
noise,0,-1,-1,0,1,31,noresponse,9241,2,0.020469128356439128,
signal,0,-1,-1,0,1,32,noresponse,9241,2,0.020469128356439128,
signal,0,-1,-1,0,1,33,8,9241,2,0.020469128356439128,
signal,0,-1,-1,0,1,34,noresponse,9241,2,0.020469128356439128,
signal,0,-1,-1,0,1,35,8,9241,2,0.020469128356439128,
signal,0,-1,-1,0,1,36,8,9241,2,0.020469128356439128,
noise,0,-1,-1,0,1,37,7,9241,2,0.020469128356439128,
noise,0,-1,-1,0,1,38,8,9241,2,0.020469128356439128,
signal,0,-1,-1,0,1,39,8,9241,2,0.020469128356439128,
signal,0,-1,-1,0,1,40,7,9241,2,0.020469128356439128,
noise,0,-1,-1,0,1,41,8,9241,2,0.020469128356439128,
signal,0,-1,-1,0,1,42,8,9241,2,0.020469128356439128,
noise,0,-1,-1,0,1,43,8,9241,2,0.020469128356439128,
noise,0,-1,-1,0,1,44,noresponse,9241,2,0.020469128356439128,
noise,0,-1,-1,0,1,45,7,9241,2,0.020469128356439128,
noise,0,-1,-1,0,1,46,noresponse,9241,2,0.020469128356439128,
noise,0,-1,-1,0,1,47,8,9241,2,0.020469128356439128,
signal,0,-1,-1,0,1,48,noresponse,9241,2,0.020469128356439128,
signal,0,-1,-1,0,1,49,7,9241,2,0.020469128356439128,
signal,0,-1,-1,0,1,50,8,9241,2,0.020469128356439128,
noise,0,-1,-1,0,1,51,8,9241,2,0.020469128356439128,
signal,0,-1,-1,0,1,52,8,9241,2,0.020469128356439128,
signal,0,-1,-1,0,1,53,7,9241,2,0.020469128356439128,
signal,0,-1,-1,0,1,54,7,9241,2,0.020469128356439128,
noise,0,-1,-1,0,1,55,8,9241,2,0.020469128356439128,
signal,0,-1,-1,0,1,56,7,9241,2,0.020469128356439128,
noise,0,-1,-1,0,1,57,8,9241,2,0.020469128356439128,
