condition,.thisRepN,.thisTrialN,.thisN,.thisIndex,block,trial,response,pair_id,chamber,threshold,
noise,0,-1,-1,0,1,0,8,9272,2,0.01797923430671976,
signal,0,-1,-1,0,1,1,7,9272,2,0.01797923430671976,
noise,0,-1,-1,0,1,2,8,9272,2,0.01797923430671976,
signal,0,-1,-1,0,1,3,8,9272,2,0.01797923430671976,
signal,0,-1,-1,0,1,4,7,9272,2,0.01797923430671976,
signal,0,-1,-1,0,1,5,8,9272,2,0.01797923430671976,
noise,0,-1,-1,0,1,6,8,9272,2,0.01797923430671976,
signal,0,-1,-1,0,1,7,7,9272,2,0.01797923430671976,
signal,0,-1,-1,0,1,8,7,9272,2,0.01797923430671976,
noise,0,-1,-1,0,1,9,8,9272,2,0.01797923430671976,
noise,0,-1,-1,0,1,10,8,9272,2,0.01797923430671976,
signal,0,-1,-1,0,1,11,7,9272,2,0.01797923430671976,
signal,0,-1,-1,0,1,12,7,9272,2,0.01797923430671976,
noise,0,-1,-1,0,1,13,8,9272,2,0.01797923430671976,
noise,0,-1,-1,0,1,14,8,9272,2,0.01797923430671976,
noise,0,-1,-1,0,1,15,8,9272,2,0.01797923430671976,
signal,0,-1,-1,0,1,16,8,9272,2,0.01797923430671976,
signal,0,-1,-1,0,1,17,8,9272,2,0.01797923430671976,
noise,0,-1,-1,0,1,18,8,9272,2,0.01797923430671976,
signal,0,-1,-1,0,1,19,8,9272,2,0.01797923430671976,
noise,0,-1,-1,0,1,20,8,9272,2,0.01797923430671976,
signal,0,-1,-1,0,1,21,7,9272,2,0.01797923430671976,
signal,0,-1,-1,0,1,22,7,9272,2,0.01797923430671976,
signal,0,-1,-1,0,1,23,8,9272,2,0.01797923430671976,
noise,0,-1,-1,0,1,24,8,9272,2,0.01797923430671976,
signal,0,-1,-1,0,1,25,7,9272,2,0.01797923430671976,
noise,0,-1,-1,0,1,26,8,9272,2,0.01797923430671976,
noise,0,-1,-1,0,1,27,8,9272,2,0.01797923430671976,
signal,0,-1,-1,0,1,28,7,9272,2,0.01797923430671976,
signal,0,-1,-1,0,1,29,8,9272,2,0.01797923430671976,
noise,0,-1,-1,0,1,30,8,9272,2,0.01797923430671976,
signal,0,-1,-1,0,1,31,8,9272,2,0.01797923430671976,
