condition,.thisRepN,.thisTrialN,.thisN,.thisIndex,block,trial,response,pair,threshold,
noise,0,-1,-1,0,1,0,1,9,0.02095,
noise,0,-1,-1,0,1,1,1,9,0.02095,
signal,0,-1,-1,0,1,2,2,9,0.02095,
signal,0,-1,-1,0,1,3,2,9,0.02095,
signal,0,-1,-1,0,1,4,2,9,0.02095,
signal,0,-1,-1,0,1,5,2,9,0.02095,
noise,0,-1,-1,0,1,6,1,9,0.02095,
noise,0,-1,-1,0,1,7,1,9,0.02095,
signal,0,-1,-1,0,1,8,2,9,0.02095,
noise,0,-1,-1,0,1,9,1,9,0.02095,
noise,0,-1,-1,0,1,10,1,9,0.02095,
noise,0,-1,-1,0,1,11,1,9,0.02095,
signal,0,-1,-1,0,1,12,2,9,0.02095,
noise,0,-1,-1,0,1,13,1,9,0.02095,
signal,0,-1,-1,0,1,14,2,9,0.02095,
noise,0,-1,-1,0,1,15,1,9,0.02095,
signal,0,-1,-1,0,1,16,2,9,0.02095,
signal,0,-1,-1,0,1,17,2,9,0.02095,
noise,0,-1,-1,0,1,18,1,9,0.02095,
signal,0,-1,-1,0,1,19,2,9,0.02095,
signal,0,-1,-1,0,1,20,2,9,0.02095,
noise,0,-1,-1,0,1,21,2,9,0.02095,
signal,0,-1,-1,0,1,22,2,9,0.02095,
signal,0,-1,-1,0,1,23,1,9,0.02095,
signal,0,-1,-1,0,1,24,2,9,0.02095,
noise,0,-1,-1,0,1,25,1,9,0.02095,
noise,0,-1,-1,0,1,26,1,9,0.02095,
signal,0,-1,-1,0,1,27,2,9,0.02095,
signal,0,-1,-1,0,1,28,2,9,0.02095,
noise,0,-1,-1,0,1,29,1,9,0.02095,
signal,0,-1,-1,0,1,30,2,9,0.02095,
signal,0,-1,-1,0,1,31,2,9,0.02095,
signal,0,-1,-1,0,1,32,2,9,0.02095,
noise,0,-1,-1,0,1,33,1,9,0.02095,
noise,0,-1,-1,0,1,34,1,9,0.02095,
signal,0,-1,-1,0,1,35,2,9,0.02095,
noise,0,-1,-1,0,1,36,1,9,0.02095,
signal,0,-1,-1,0,1,37,2,9,0.02095,
signal,0,-1,-1,0,1,38,2,9,0.02095,
noise,0,-1,-1,0,1,39,1,9,0.02095,
signal,0,-1,-1,0,1,40,2,9,0.02095,
noise,0,-1,-1,0,1,41,1,9,0.02095,
signal,0,-1,-1,0,1,42,2,9,0.02095,
noise,0,-1,-1,0,1,43,1,9,0.02095,
noise,0,-1,-1,0,1,44,1,9,0.02095,
signal,0,-1,-1,0,1,45,2,9,0.02095,
noise,0,-1,-1,0,1,46,1,9,0.02095,
noise,0,-1,-1,0,1,47,1,9,0.02095,
signal,0,-1,-1,0,1,48,1,9,0.02095,
noise,0,-1,-1,0,1,49,1,9,0.02095,
noise,0,-1,-1,0,1,50,1,9,0.02095,
noise,0,-1,-1,0,1,51,1,9,0.02095,
noise,0,-1,-1,0,1,52,1,9,0.02095,
