condition,.thisRepN,.thisTrialN,.thisN,.thisIndex,block,trial,totalTrials,s1_state,s2_state,response,rt,pair,
signal,0,-1,-1,0,1,1,1,0,1,yes,1.1820709705352783,11,
signal,0,-1,-1,0,1,2,2,0,1,yes,0.80712890625,11,
signal,0,-1,-1,0,1,3,3,0,1,yes,0.7801430225372314,11,
noise,0,-1,-1,0,1,4,4,0,1,no,0.8887341022491455,11,
signal,0,-1,-1,0,1,5,5,1,0,yes,1.1884238719940186,11,
signal,0,-1,-1,0,1,6,6,1,0,yes,1.0774598121643066,11,
signal,0,-1,-1,0,1,7,7,1,0,yes,0.7643909454345703,11,
noise,0,-1,-1,0,1,8,8,1,0,no,0.7852840423583984,11,
noise,0,-1,-1,0,1,9,9,0,1,no,1.2812879085540771,11,
signal,0,-1,-1,0,1,10,10,0,1,yes,0.9906988143920898,11,
noise,0,-1,-1,0,1,11,11,1,0,yes,0.9358890056610107,11,
noise,0,-1,-1,0,1,12,12,0,1,no,0.9236428737640381,11,
noise,0,-1,-1,0,1,13,13,1,0,no,0.8561499118804932,11,
noise,0,-1,-1,0,1,14,14,0,1,no,0.7328948974609375,11,
noise,0,-1,-1,0,1,15,15,0,1,no,1.1736831665039062,11,
noise,0,-1,-1,0,1,16,16,1,0,no,0.7932600975036621,11,
signal,0,-1,-1,0,1,17,17,0,1,yes,0.665302038192749,11,
signal,0,-1,-1,0,1,18,18,0,1,yes,1.0016939640045166,11,
signal,0,-1,-1,0,1,19,19,0,1,yes,0.7715859413146973,11,
signal,0,-1,-1,0,1,20,20,1,0,yes,0.7658119201660156,11,
noise,0,-1,-1,0,1,21,21,0,1,no,1.4594669342041016,11,
signal,0,-1,-1,0,1,22,22,1,0,yes,0.9857981204986572,11,
signal,0,-1,-1,0,1,23,23,0,1,no,1.1447570323944092,11,
signal,0,-1,-1,0,1,24,24,0,1,yes,1.2228989601135254,11,
signal,0,-1,-1,0,1,25,25,0,1,yes,0.9430439472198486,11,
noise,0,-1,-1,0,1,26,26,1,0,no,0.9498159885406494,11,
noise,0,-1,-1,0,1,27,27,0,1,no,1.9498090744018555,11,
signal,0,-1,-1,0,1,28,28,1,0,yes,1.3588149547576904,11,
signal,0,-1,-1,0,1,29,29,0,1,yes,1.2889459133148193,11,
signal,0,-1,-1,0,1,30,30,0,1,yes,1.0920329093933105,11,
noise,0,-1,-1,0,1,31,31,0,1,no,0.9763438701629639,11,
signal,0,-1,-1,0,1,32,32,1,0,noresponse,None,11,
noise,0,-1,-1,0,1,33,33,0,1,no,1.1470861434936523,11,
signal,0,-1,-1,0,1,34,34,1,0,no,0.982489824295044,11,
signal,0,-1,-1,0,1,35,35,0,1,yes,1.1102609634399414,11,
noise,0,-1,-1,0,1,36,36,1,0,no,1.1552479267120361,11,
noise,0,-1,-1,0,1,37,37,0,1,no,1.1144700050354004,11,
noise,0,-1,-1,0,1,38,38,1,0,no,1.5289549827575684,11,
noise,0,-1,-1,0,1,39,39,0,1,no,1.1341040134429932,11,
noise,0,-1,-1,0,1,40,40,0,1,no,1.420914888381958,11,
signal,0,-1,-1,0,1,41,41,1,0,yes,1.8821868896484375,11,
signal,0,-1,-1,0,1,42,42,0,1,yes,1.9706480503082275,11,
noise,0,-1,-1,0,1,43,43,1,0,no,0.9892668724060059,11,
noise,0,-1,-1,0,1,44,44,0,1,noresponse,None,11,
noise,0,-1,-1,0,1,45,45,1,0,no,0.9436211585998535,11,
