condition,.thisRepN,.thisTrialN,.thisN,.thisIndex,block,trial,totalTrials,condition,s1_state,s2_state,response,rt,date,pair,participant1,participant2,
noise,0,-1,-1,0,1,1,1,noise,1,0,None,0,2021_May_06_0750,1,1,2,
signal,0,-1,-1,0,1,2,2,signal,1,0,None,0,2021_May_06_0750,1,1,2,
noise,0,-1,-1,0,1,3,3,noise,1,0,None,0,2021_May_06_0750,1,1,2,
signal,0,-1,-1,0,1,4,4,signal,0,1,None,0,2021_May_06_0750,1,1,2,
signal,0,-1,-1,0,1,5,5,signal,1,0,None,0,2021_May_06_0750,1,1,2,
noise,0,-1,-1,0,1,6,6,noise,0,1,None,0,2021_May_06_0750,1,1,2,
signal,0,-1,-1,0,1,7,7,signal,0,1,None,0,2021_May_06_0750,1,1,2,
noise,0,-1,-1,0,1,8,8,noise,0,1,None,0,2021_May_06_0750,1,1,2,
signal,0,-1,-1,0,1,9,9,signal,1,0,None,0,2021_May_06_0750,1,1,2,
noise,0,-1,-1,0,1,10,10,noise,1,0,None,0,2021_May_06_0750,1,1,2,
noise,0,-1,-1,0,1,11,11,noise,1,0,None,0,2021_May_06_0750,1,1,2,
signal,0,-1,-1,0,1,12,12,signal,0,1,None,0,2021_May_06_0750,1,1,2,
signal,0,0,0,6,2,1,13,signal,0,1,None,0,2021_May_06_0750,1,1,2,
signal,0,1,1,2,2,2,14,signal,1,0,None,0,2021_May_06_0750,1,1,2,
signal,0,2,2,4,2,3,15,signal,1,0,None,0,2021_May_06_0750,1,1,2,
noise,0,3,3,5,2,4,16,noise,0,1,None,0,2021_May_06_0750,1,1,2,
signal,0,4,4,8,2,5,17,signal,1,0,None,0,2021_May_06_0750,1,1,2,
noise,0,5,5,7,2,6,18,noise,0,1,None,0,2021_May_06_0750,1,1,2,
signal,0,6,6,10,2,7,19,signal,0,1,None,0,2021_May_06_0750,1,1,2,
signal,0,7,7,0,2,8,20,signal,0,1,None,0,2021_May_06_0750,1,1,2,
noise,0,8,8,1,2,9,21,noise,1,0,None,0,2021_May_06_0750,1,1,2,
noise,0,9,9,3,2,10,22,noise,1,0,None,0,2021_May_06_0750,1,1,2,
noise,0,10,10,9,2,11,23,noise,1,0,None,0,2021_May_06_0750,1,1,2,
noise,0,11,11,11,2,12,24,noise,0,1,None,0,2021_May_06_0750,1,1,2,
