condition,.thisRepN,.thisTrialN,.thisN,.thisIndex,block,trial,totalTrials,s1_state,s2_state,response,rt,pair,
noise,0,-1,-1,0,1,1,1,1,0,no,1.3177440166473389,2,
noise,0,-1,-1,0,1,2,2,0,1,no,1.0046651363372803,2,
noise,0,-1,-1,0,1,3,3,0,1,no,0.784060001373291,2,
signal,0,-1,-1,0,1,4,4,0,1,yes,0.7505371570587158,2,
signal,0,-1,-1,0,1,5,5,0,1,yes,1.0507750511169434,2,
noise,0,-1,-1,0,1,6,6,1,0,no,0.8174939155578613,2,
signal,0,-1,-1,0,1,7,7,1,0,yes,0.9673569202423096,2,
signal,0,-1,-1,0,1,8,8,1,0,yes,1.0209898948669434,2,
signal,0,-1,-1,0,1,9,9,1,0,yes,0.8005990982055664,2,
signal,0,-1,-1,0,1,10,10,0,1,yes,0.9507730007171631,2,
noise,0,-1,-1,0,1,11,11,0,1,no,1.0508880615234375,2,
signal,0,-1,-1,0,1,12,12,1,0,yes,0.6673028469085693,2,
signal,0,-1,-1,0,1,13,13,0,1,yes,1.0342209339141846,2,
noise,0,-1,-1,0,1,14,14,1,0,no,0.9842820167541504,2,
signal,0,-1,-1,0,1,15,15,0,1,yes,0.8553740978240967,2,
noise,0,-1,-1,0,1,16,16,1,0,no,0.8009040355682373,2,
noise,0,-1,-1,0,1,17,17,1,0,no,1.034221887588501,2,
signal,0,-1,-1,0,1,18,18,1,0,yes,0.7838859558105469,2,
noise,0,-1,-1,0,1,19,19,0,1,no,0.9509749412536621,2,
noise,0,-1,-1,0,1,20,20,1,0,no,0.7675230503082275,2,
noise,0,-1,-1,0,1,21,21,0,1,no,1.0510671138763428,2,
noise,0,-1,-1,0,1,22,22,1,0,no,0.8675110340118408,2,
signal,0,-1,-1,0,1,23,23,0,1,yes,0.8507912158966064,2,
noise,0,-1,-1,0,1,24,24,1,0,no,1.4679720401763916,2,
signal,0,-1,-1,0,1,25,25,0,1,yes,1.1176631450653076,2,
signal,0,-1,-1,0,1,26,26,0,1,yes,1.367668867111206,2,
noise,0,-1,-1,0,1,27,27,0,1,no,1.1043450832366943,2,
signal,0,-1,-1,0,1,28,28,0,1,yes,0.820904016494751,2,
noise,0,-1,-1,0,1,29,29,1,0,no,1.2845909595489502,2,
signal,0,-1,-1,0,1,30,30,0,1,yes,1.2177600860595703,2,
signal,0,-1,-1,0,1,31,31,1,0,yes,1.1676881313323975,2,
noise,0,-1,-1,0,1,32,32,0,1,no,1.08439302444458,2,
noise,0,-1,-1,0,1,33,33,1,0,no,0.9544010162353516,2,
noise,0,-1,-1,0,1,34,34,0,1,no,1.1677570343017578,2,
signal,0,-1,-1,0,1,35,35,0,1,yes,0.7672410011291504,2,
signal,0,-1,-1,0,1,36,36,1,0,yes,0.9674429893493652,2,
noise,0,-1,-1,0,1,37,37,0,1,no,1.6181950569152832,2,
noise,0,-1,-1,0,1,38,38,1,0,no,1.2011761665344238,2,
noise,0,-1,-1,0,1,39,39,1,0,no,0.8173909187316895,2,
noise,0,-1,-1,0,1,40,40,0,1,no,1.0677409172058105,2,
noise,0,-1,-1,0,1,41,41,1,0,no,1.234565019607544,2,
signal,0,-1,-1,0,1,42,42,0,1,yes,0.7840421199798584,2,
signal,0,-1,-1,0,1,43,43,0,1,yes,0.9840672016143799,2,
signal,0,-1,-1,0,1,44,44,1,0,yes,0.8212430477142334,2,
noise,0,-1,-1,0,1,45,45,1,0,no,0.8007049560546875,2,
signal,0,-1,-1,0,1,46,46,0,1,yes,1.1510381698608398,2,
noise,0,-1,-1,0,1,47,47,0,1,no,1.1509649753570557,2,
noise,0,-1,-1,0,1,48,48,1,0,no,0.7841789722442627,2,
signal,0,-1,-1,0,1,49,49,0,1,yes,1.1883981227874756,2,
signal,0,-1,-1,0,1,50,50,0,1,yes,0.8506419658660889,2,
signal,0,-1,-1,0,1,51,51,0,1,yes,1.1008191108703613,2,
signal,0,-1,-1,0,1,52,52,0,1,yes,1.0508050918579102,2,
signal,0,-1,-1,0,1,53,53,1,0,yes,0.9508309364318848,2,
noise,0,-1,-1,0,1,54,54,0,1,no,1.0677249431610107,2,
signal,0,-1,-1,0,1,55,55,1,0,yes,0.850775957107544,2,
noise,0,-1,-1,0,1,56,56,1,0,no,1.6179978847503662,2,
noise,0,-1,-1,0,1,57,57,0,1,no,1.2345490455627441,2,
signal,0,-1,-1,0,1,58,58,0,1,yes,1.3343539237976074,2,
noise,0,-1,-1,0,1,59,59,1,0,no,0.9676339626312256,2,
noise,0,-1,-1,0,1,60,60,1,0,no,0.6672728061676025,2,
noise,0,-1,-1,0,1,61,61,0,1,no,1.3513250350952148,2,
noise,0,-1,-1,0,1,62,62,0,1,no,1.2844219207763672,2,
signal,0,-1,-1,0,1,63,63,1,0,yes,0.7840700149536133,2,
signal,0,-1,-1,0,1,64,64,1,0,yes,0.8005809783935547,2,
noise,0,-1,-1,0,1,65,65,1,0,no,0.7005939483642578,2,
signal,0,-1,-1,0,1,66,66,0,1,yes,1.1343891620635986,2,
signal,0,-1,-1,0,1,67,67,1,0,yes,0.7378511428833008,2,
noise,0,-1,-1,0,1,68,68,1,0,no,0.8006889820098877,2,
signal,0,-1,-1,0,1,69,69,0,1,yes,1.2677831649780273,2,
noise,0,-1,-1,0,1,70,70,0,1,no,1.1677300930023193,2,
