condition,.thisRepN,.thisTrialN,.thisN,.thisIndex,block,trial,totalTrials,s1_state,s2_state,response,rt,pair
signal,0,-1,-1,0,1,1,1,0,1,yes,0.6964912,2
signal,0,-1,-1,0,1,2,2,0,1,yes,0.7698394,2
noise,0,-1,-1,0,1,3,3,0,1,no,0.9247749,2
noise,0,-1,-1,0,1,4,4,1,0,yes,1.1682741,2
noise,0,-1,-1,0,2,1,5,0,1,no,1.0325166,2
signal,0,-1,-1,0,2,2,6,0,1,noresponse,None,2
signal,0,-1,-1,0,2,3,7,1,0,yes,1.6452484,2
noise,0,-1,-1,0,2,4,8,0,1,noresponse,None,2
noise,0,-1,-1,0,3,1,9,1,0,no,1.1609292,2
noise,0,-1,-1,0,3,2,10,0,1,no,1.2109093,2
signal,0,-1,-1,0,3,3,11,0,1,yes,1.1278267,2
signal,0,-1,-1,0,3,4,12,0,1,yes,0.6763472,2
signal,0,-1,-1,0,4,1,13,1,0,yes,0.6831485,2
noise,0,-1,-1,0,4,2,14,0,1,no,0.9686998,2
noise,0,-1,-1,0,4,3,15,1,0,noresponse,None,2
signal,0,-1,-1,0,4,4,16,1,0,yes,0.9835297,2
noise,0,-1,-1,0,5,1,17,0,1,noresponse,None,2
noise,0,-1,-1,0,5,2,18,0,1,no,1.7156101,2
signal,0,-1,-1,0,5,3,19,0,1,yes,0.8217115,2
signal,0,-1,-1,0,5,4,20,1,0,yes,0.7865936,2
signal,0,0,0,0,6,1,21,0,1,noresponse,None,2
signal,0,1,1,2,6,2,22,0,1,yes,0.6866395,2
noise,0,2,2,1,6,3,23,1,0,no,1.0136399,2
noise,0,3,3,3,6,4,24,1,0,noresponse,None,2
