condition,.thisRepN,.thisTrialN,.thisN,.thisIndex,block,trial,s1_state,response,rt,pair,
noise,0,-1,-1,0,1,0,False,no,1.2445580959320068,8,
signal,0,-1,-1,0,1,1,False,yes,0.8064789772033691,8,
signal,0,-1,-1,0,1,2,False,yes,1.041841983795166,8,
noise,0,-1,-1,0,1,3,False,no,0.9782888889312744,8,
noise,0,-1,-1,0,1,4,True,no,1.63615083694458,8,
signal,0,-1,-1,0,1,5,True,yes,1.5684070587158203,8,
signal,0,-1,-1,0,1,6,False,yes,1.1521761417388916,8,
signal,0,-1,-1,0,1,7,False,yes,1.1558220386505127,8,
noise,0,-1,-1,0,1,8,False,no,0.9240820407867432,8,
signal,0,-1,-1,0,1,9,False,yes,0.8541021347045898,8,
signal,0,-1,-1,0,1,10,True,yes,1.6050388813018799,8,
signal,0,-1,-1,0,1,11,False,yes,1.0006680488586426,8,
noise,0,-1,-1,0,1,12,True,no,1.2550299167633057,8,
noise,0,-1,-1,0,1,13,True,no,0.9773399829864502,8,
noise,0,-1,-1,0,1,14,True,no,1.1198489665985107,8,
noise,0,-1,-1,0,1,15,True,no,0.7835240364074707,8,
noise,0,-1,-1,0,1,16,True,no,0.8174710273742676,8,
noise,0,-1,-1,0,1,17,True,no,0.8080930709838867,8,
signal,0,-1,-1,0,1,18,True,yes,1.7750298976898193,8,
noise,0,-1,-1,0,1,19,True,no,1.118293046951294,8,
signal,0,-1,-1,0,1,20,True,yes,1.0490589141845703,8,
noise,0,-1,-1,0,1,21,False,no,0.8473310470581055,8,
noise,0,-1,-1,0,1,22,False,no,0.8893470764160156,8,
noise,0,-1,-1,0,1,23,True,no,1.390117883682251,8,
noise,0,-1,-1,0,1,24,False,no,0.8146169185638428,8,
noise,0,-1,-1,0,1,25,False,no,1.0489461421966553,8,
signal,0,-1,-1,0,1,26,False,yes,0.7365200519561768,8,
signal,0,-1,-1,0,1,27,True,yes,1.687694787979126,8,
noise,0,-1,-1,0,1,28,True,no,0.9478070735931396,8,
noise,0,-1,-1,0,1,29,True,no,1.369277000427246,8,
signal,0,-1,-1,0,1,30,True,yes,1.5962519645690918,8,
signal,0,-1,-1,0,1,31,True,no,1.4484679698944092,8,
noise,0,-1,-1,0,1,32,False,no,0.7999610900878906,8,
signal,0,-1,-1,0,1,33,True,yes,1.3212461471557617,8,
noise,0,-1,-1,0,1,34,False,no,0.8519999980926514,8,
noise,0,-1,-1,0,1,35,False,no,0.8020679950714111,8,
signal,0,-1,-1,0,1,36,False,yes,0.6085700988769531,8,
noise,0,-1,-1,0,1,37,True,no,1.3836510181427002,8,
signal,0,-1,-1,0,1,38,False,yes,0.7055470943450928,8,
noise,0,-1,-1,0,1,39,True,no,1.6422860622406006,8,
noise,0,-1,-1,0,1,40,False,no,0.8129830360412598,8,
signal,0,-1,-1,0,1,41,True,noresponse,None,8,
signal,0,-1,-1,0,1,42,True,yes,1.1435439586639404,8,
noise,0,-1,-1,0,1,43,False,no,1.0728020668029785,8,
signal,0,-1,-1,0,1,44,False,yes,0.6990489959716797,8,
noise,0,-1,-1,0,1,45,True,no,1.1216578483581543,8,
signal,0,-1,-1,0,1,46,True,yes,1.6900699138641357,8,
noise,0,-1,-1,0,1,47,True,noresponse,None,8,
noise,0,-1,-1,0,1,48,True,no,1.6692149639129639,8,
signal,0,-1,-1,0,1,49,True,no,0.7870309352874756,8,
