condition,.thisRepN,.thisTrialN,.thisN,.thisIndex,block,trial,response,pair_id,chamber,threshold,
signal,0,-1,-1,0,1,0,7,9301,2,0.02041503914746663,
signal,0,-1,-1,0,1,1,7,9301,2,0.02041503914746663,
noise,0,-1,-1,0,1,2,8,9301,2,0.02041503914746663,
signal,0,-1,-1,0,1,3,8,9301,2,0.02041503914746663,
noise,0,-1,-1,0,1,4,8,9301,2,0.02041503914746663,
signal,0,-1,-1,0,1,5,8,9301,2,0.02041503914746663,
noise,0,-1,-1,0,1,6,8,9301,2,0.02041503914746663,
signal,0,-1,-1,0,1,7,8,9301,2,0.02041503914746663,
signal,0,-1,-1,0,1,8,8,9301,2,0.02041503914746663,
noise,0,-1,-1,0,1,9,8,9301,2,0.02041503914746663,
signal,0,-1,-1,0,1,10,8,9301,2,0.02041503914746663,
signal,0,-1,-1,0,1,11,8,9301,2,0.02041503914746663,
noise,0,-1,-1,0,1,12,8,9301,2,0.02041503914746663,
signal,0,-1,-1,0,1,13,8,9301,2,0.02041503914746663,
signal,0,-1,-1,0,1,14,7,9301,2,0.02041503914746663,
noise,0,-1,-1,0,1,15,8,9301,2,0.02041503914746663,
signal,0,-1,-1,0,1,16,8,9301,2,0.02041503914746663,
noise,0,-1,-1,0,1,17,8,9301,2,0.02041503914746663,
noise,0,-1,-1,0,1,18,8,9301,2,0.02041503914746663,
signal,0,-1,-1,0,1,19,8,9301,2,0.02041503914746663,
noise,0,-1,-1,0,1,20,8,9301,2,0.02041503914746663,
noise,0,-1,-1,0,1,21,8,9301,2,0.02041503914746663,
signal,0,-1,-1,0,1,22,7,9301,2,0.02041503914746663,
noise,0,-1,-1,0,1,23,8,9301,2,0.02041503914746663,
signal,0,-1,-1,0,1,24,8,9301,2,0.02041503914746663,
signal,0,-1,-1,0,1,25,8,9301,2,0.02041503914746663,
noise,0,-1,-1,0,1,26,8,9301,2,0.02041503914746663,
noise,0,-1,-1,0,1,27,7,9301,2,0.02041503914746663,
noise,0,-1,-1,0,1,28,8,9301,2,0.02041503914746663,
signal,0,-1,-1,0,1,29,7,9301,2,0.02041503914746663,
signal,0,-1,-1,0,1,30,7,9301,2,0.02041503914746663,
noise,0,-1,-1,0,1,31,8,9301,2,0.02041503914746663,
signal,0,-1,-1,0,1,32,8,9301,2,0.02041503914746663,
signal,0,-1,-1,0,1,33,7,9301,2,0.02041503914746663,
signal,0,-1,-1,0,1,34,8,9301,2,0.02041503914746663,
noise,0,-1,-1,0,1,35,8,9301,2,0.02041503914746663,
noise,0,-1,-1,0,1,36,8,9301,2,0.02041503914746663,
noise,0,-1,-1,0,1,37,8,9301,2,0.02041503914746663,
noise,0,-1,-1,0,1,38,8,9301,2,0.02041503914746663,
noise,0,-1,-1,0,1,39,8,9301,2,0.02041503914746663,
noise,0,-1,-1,0,1,40,noresponse,9301,2,0.02041503914746663,
signal,0,-1,-1,0,1,41,7,9301,2,0.02041503914746663,
noise,0,-1,-1,0,1,42,8,9301,2,0.02041503914746663,
signal,0,-1,-1,0,1,43,8,9301,2,0.02041503914746663,
signal,0,-1,-1,0,1,44,7,9301,2,0.02041503914746663,
noise,0,-1,-1,0,1,45,8,9301,2,0.02041503914746663,
signal,0,-1,-1,0,1,46,7,9301,2,0.02041503914746663,
noise,0,-1,-1,0,1,47,8,9301,2,0.02041503914746663,
noise,0,-1,-1,0,1,48,8,9301,2,0.02041503914746663,
noise,0,-1,-1,0,1,49,7,9301,2,0.02041503914746663,
noise,0,-1,-1,0,1,50,8,9301,2,0.02041503914746663,
noise,0,-1,-1,0,1,51,7,9301,2,0.02041503914746663,
noise,0,-1,-1,0,1,52,8,9301,2,0.02041503914746663,
noise,0,-1,-1,0,1,53,8,9301,2,0.02041503914746663,
signal,0,-1,-1,0,1,54,8,9301,2,0.02041503914746663,
signal,0,-1,-1,0,1,55,7,9301,2,0.02041503914746663,
noise,0,-1,-1,0,1,56,8,9301,2,0.02041503914746663,
signal,0,-1,-1,0,1,57,7,9301,2,0.02041503914746663,
noise,0,-1,-1,0,1,58,8,9301,2,0.02041503914746663,
noise,0,-1,-1,0,1,59,8,9301,2,0.02041503914746663,
signal,0,-1,-1,0,1,60,7,9301,2,0.02041503914746663,
signal,0,-1,-1,0,1,61,7,9301,2,0.02041503914746663,
signal,0,-1,-1,0,1,62,8,9301,2,0.02041503914746663,
noise,0,-1,-1,0,1,63,8,9301,2,0.02041503914746663,
signal,0,-1,-1,0,1,64,8,9301,2,0.02041503914746663,
noise,0,-1,-1,0,1,65,8,9301,2,0.02041503914746663,
signal,0,-1,-1,0,1,66,7,9301,2,0.02041503914746663,
noise,0,-1,-1,0,1,67,8,9301,2,0.02041503914746663,
signal,0,-1,-1,0,1,68,7,9301,2,0.02041503914746663,
noise,0,-1,-1,0,1,69,8,9301,2,0.02041503914746663,
noise,0,-1,-1,0,1,70,8,9301,2,0.02041503914746663,
signal,0,-1,-1,0,1,71,7,9301,2,0.02041503914746663,
signal,0,-1,-1,0,1,72,7,9301,2,0.02041503914746663,
signal,0,-1,-1,0,1,73,7,9301,2,0.02041503914746663,
signal,0,-1,-1,0,1,74,7,9301,2,0.02041503914746663,
noise,0,-1,-1,0,1,75,7,9301,2,0.02041503914746663,
signal,0,-1,-1,0,1,76,7,9301,2,0.02041503914746663,
signal,0,-1,-1,0,1,77,7,9301,2,0.02041503914746663,
noise,0,-1,-1,0,1,78,8,9301,2,0.02041503914746663,
signal,0,-1,-1,0,1,79,7,9301,2,0.02041503914746663,
signal,0,-1,-1,0,2,0,8,9301,2,0.02041503914746663,
noise,0,-1,-1,0,2,1,8,9301,2,0.02041503914746663,
noise,0,-1,-1,0,2,2,8,9301,2,0.02041503914746663,
noise,0,-1,-1,0,2,3,8,9301,2,0.02041503914746663,
noise,0,-1,-1,0,2,4,8,9301,2,0.02041503914746663,
noise,0,-1,-1,0,2,5,8,9301,2,0.02041503914746663,
noise,0,-1,-1,0,2,6,8,9301,2,0.02041503914746663,
signal,0,-1,-1,0,2,7,7,9301,2,0.02041503914746663,
noise,0,-1,-1,0,2,8,8,9301,2,0.02041503914746663,
signal,0,-1,-1,0,2,9,7,9301,2,0.02041503914746663,
noise,0,-1,-1,0,2,10,8,9301,2,0.02041503914746663,
noise,0,-1,-1,0,2,11,8,9301,2,0.02041503914746663,
noise,0,-1,-1,0,2,12,noresponse,9301,2,0.02041503914746663,
noise,0,-1,-1,0,2,13,8,9301,2,0.02041503914746663,
noise,0,-1,-1,0,2,14,8,9301,2,0.02041503914746663,
signal,0,-1,-1,0,2,15,7,9301,2,0.02041503914746663,
noise,0,-1,-1,0,2,16,8,9301,2,0.02041503914746663,
noise,0,-1,-1,0,2,17,8,9301,2,0.02041503914746663,
